Animal,FR,CV,Sync Frac,Burst/sec,Frac Osc,TH,Behavior PC1
AW042717,14.34001158,0.873349506,0.230769231,0.287433897,0.631578947,0.18747521,-2.71812266
AW051217,28.14765274,0.808865662,0.84,0.882104226,0.821428571,7.376474301,-2.426682128
AW081517,11.48346919,0.692731984,0.363636364,0.15508539,0.173913043,0.420558146,-3.074727855
AW070417,37.28594045,0.684738755,0.37755102,0.439020207,0.716666667,2.114407868,-2.035466627
AW082417,23.61975775,1.011778311,0.133333333,0.325231582,0.222222222,4.48092523,0.222398986
AW082917,26.44420819,0.641627741,0.769230769,0.420893616,0.615384615,-0.63020281,-1.522505132
AW092117,33.83737604,0.553169315,0.31372549,0.291857168,0.533333333,11.99266411,-2.743307139
AW012916,24.05369563,1.124617856,0.357142857,0.648619144,0.44,29.4889701,-2.216380723
AW092217,40.00963825,0.750067972,0.25,0.423466883,0.166666667,13.85270314,-0.334075689
AW092917,34.73313247,0.742923718,0.453125,0.384030973,0.056603774,29.39334942,0.332363502
022818_2,28.56384973,0.563113473,0.059701493,0.14066575,0.075471698,25.59576591,2.575304616
092817_2,21.86336509,0.872980257,0.333333333,0.398890718,0.131578947,51.68030377,-0.458067368
AW022818,35.88251612,0.555428096,0.157894737,0.203181192,0.16,45.71712009,1.429675688
AW081116,54.98950429,0.683117881,0.434782609,0.451365991,0.19047619,63.52340657,-0.16183355
AW092216,28.5597148,0.672621609,0.210526316,0.131516308,0.066666667,61.96339832,1.846848503
AW092617,18.50362937,0.931237912,0.175824176,0.31802859,0.129032258,68.33656946,1.325669687
112117_2,25.88311572,0.544084588,0.041666667,0.1077103,0,62.77244379,1.817254084
AW112217,30.2829785,0.685777644,0.213114754,0.298165493,0.04,62.71591549,3.313693377
AW112817,42.23515421,0.546142705,0.285714286,0.340007645,0.051282051,50.49642078,0.688059176
022718_2,26.22404114,0.557588681,0.203883495,0.138734063,0.058823529,54.32488847,1.170067002
AW090817,27.47882968,0.502160176,0.295454545,0.094392162,0.043478261,87.40695976,1.815183702
092217_2,34.38478902,0.64557986,0.213114754,0.268561091,0.06122449,81.66926635,0.601765673
AW112117,24.17490224,0.682639433,0.407407407,0.338130396,0.026315789,89.82137397,1.65842673
AW013118,17.8323317,0.514839808,0.275,0.105987113,0.06,75.48543854,1.043525063
AW012518,32.01972948,0.596460835,0.088607595,0.169006901,0.028985507,93.08437867,1.651785014
